Word,korean_definition,english_definition,example_sentence,korean_translation,synonyms,antonyms,IELTS_score,GMAT_score
antique,오래되어 가치가 있는 골동품 또는 고풍스러운 물건,An object that is old and has historical or artistic value,She bought an antique clock at the flea market.,그녀는 벼룩시장에서 골동품 시계를 샀다.,"vintage, old-fashioned, classic","modern, contemporary, new",Moderate,Low
albino,"선천적으로 멜라닌 색소가 부족하여 피부, 머리카락, 눈 등이 흰색 또는 연한 색을 띠는 사람","A person or animal born with a lack of melanin pigment, resulting in white or pale skin, hair, and eyes.",The albino rabbit stood out among the others with its pure white fur and red eyes.,그 알비노 토끼는 순백의 털과 빨간 눈으로 다른 토끼들 사이에서 두드러졌다.,"pigmentless, amelanistic",,Low,Low
alert,"경계하는, 방심하지 않는 상태",Being watchful and ready to respond to danger or emergencies.,The security guards remained alert throughout the night.,경비원들은 밤새 경계 상태를 유지했다.,"watchful, vigilant, attentive","careless, unaware, negligent",Medium,Low
antiseptic,"소독제, 살균제 또는 살균 효과가 있는","A substance that prevents the growth of disease-causing microorganisms, or relating to sterilization.",The nurse cleaned the wound with an antiseptic solution.,간호사가 소독액으로 상처를 닦았다.,"disinfectant, sterilizer, cleanser","infectious, contaminated",Moderate relevance for vocabulary in health-related topics.,"Low relevance, primarily useful for general vocabulary enrichment."
algorithm,문제를 해결하거나 작업을 수행하기 위해 명령어들을 순차적으로 나열한 절차 또는 규칙,A step-by-step procedure or set of rules for solving a problem or completing a task,The algorithm efficiently sorted the data in ascending order.,그 알고리즘은 데이터를 효율적으로 오름차순으로 정렬했다.,"procedure, process, method",,High relevance for academic purposes in technology-related topics,Moderate relevance in problem-solving and logical reasoning sections
anxious,불안해하거나 걱정하는 상태,"Feeling worried, nervous, or uneasy about something with an uncertain outcome",She felt anxious before her big presentation.,그녀는 중요한 발표 전에 불안감을 느꼈다.,"worried, nervous, uneasy","calm, confident, relaxed",High relevance in speaking and writing sections when discussing emotions or stress,Moderate relevance in reading comprehension or critical reasoning
appall,"소름끼치게 하다, 끔찍하게 만들다",to shock or horrify someone deeply,The news of the tragedy appalled everyone.,그 비극에 대한 소식은 모두를 소름끼치게 했다.,"shock, horrify, dismay","comfort, reassure, encourage",5,4
align,"정렬하다, 일치시키다",to place or arrange things in a straight line or in proper position; to bring into agreement or alignment,The engineer worked hard to align all the components perfectly.,엔지니어는 모든 부품을 완벽하게 정렬하기 위해 열심히 일했다.,"adjust, coordinate, position","misalign, disorganize, scatter",5,4
apparatus,"기구, 장치 또는 특정 목적을 수행하는 데 필요한 조직이나 구조","A complex structure or mechanism used for a specific purpose, or a system of organization",The laboratory was equipped with sophisticated scientific apparatus.,그 실험실은 정교한 과학 기구로 장비되어 있었다.,"equipment, device, instrument",,Medium relevance for technical and academic contexts,Low relevance; rarely used in business contexts
allay,"불안, 고통, 걱정 등을 완화하다, 줄이다","To lessen or relieve a fear, worry, or pain",The government took steps to allay public fears about the new policy.,정부는 새로운 정책에 대한 대중의 두려움을 완화하기 위한 조치를 취했다.,"relieve, ease, alleviate, soothe","intensify, aggravate, exacerbate",Medium relevance in writing and speaking,Low relevance but useful in reading comprehension
appeal,"간청, 호소, 매력",A request for help or support; the quality of being attractive or interesting.,The charity made an appeal for donations to support their cause.,그 자선 단체는 그들의 목적을 지원하기 위해 기부를 요청했다.,"plea, request, attraction","ignore, repulsion, dismissal","High relevance in speaking and writing tasks, especially discussing social or ethical issues.",Moderate relevance in reading comprehension and argument analysis sections.
allegedly,"전해진 바에 따르면, 주장에 따르면","According to what is claimed or reported, but without proof.",The suspect allegedly stole the money from the store.,용의자가 가게에서 돈을 훔쳤다는 주장이 있다.,"supposedly, reportedly, purportedly",,Medium relevance; used in contexts of reporting or discussing claims.,Low relevance; rarely used in business or analytical contexts.
allegory,추상적인 개념이나 도덕적 메시지를 상징적으로 표현하는 이야기나 그림,"A story, poem, or picture that can be interpreted to reveal a hidden meaning, typically a moral or political one",The novel is an allegory of the struggle between good and evil.,그 소설은 선과 악의 싸움을 상징적으로 표현한 우화이다.,"parable, symbolism, fable",,7,6
appendage,"부속물, 부가물 또는 부속 기관","A thing that is attached to something larger or more important, typically as a supplementary part.",The insect's appendage was used for grasping and holding onto surfaces.,그 곤충의 부속 기관은 표면을 잡거나 고정하는 데 사용되었다.,"attachment, addition, accessory","core, main, central",Low,Low
appendix,부록 또는 맹장,A section or table added at the end of a book; or a tube-shaped sac attached to the lower end of the large intestine.,The appendix at the end of the book provides additional resources.,책 마지막의 부록은 추가 자료를 제공합니다.,"addendum, supplement, attachment",,Medium,Low
appetite,"식욕, 무언가를 하고자 하는 강렬한 욕구",a natural desire to eat or a strong desire for something,She has lost her appetite after hearing the bad news.,그녀는 나쁜 소식을 들은 후 식욕을 잃었다.,"hunger, craving, desire","indifference, disinterest","Medium relevance for topics related to health, food, or lifestyle.","Low relevance, might appear in reading comprehension or analogies."
applause,"박수, 갈채",The act of clapping to show approval or enjoyment.,The audience broke into applause after the performance.,공연 후 관객들이 박수를 치기 시작했다.,"clapping, ovation, cheers","silence, booing",4,3
appoint,"임명하다, 지명하다",to officially choose someone for a job or position,The committee decided to appoint a new manager for the project.,위원회는 프로젝트를 위한 새로운 매니저를 임명하기로 결정했다.,"assign, nominate, designate","dismiss, remove, fire",Medium relevance for topics like business and leadership.,High relevance in context of management and organizational scenarios.
appreciate,"감사하다, 이해하다, 평가하다",To recognize the value or importance of something; to be grateful for something.,I truly appreciate your help with the project.,저는 프로젝트를 도와주신 것에 진심으로 감사드립니다.,"value, recognize, admire, respect, acknowledge","disregard, ignore, criticize",High relevance in expressing gratitude and understanding in speaking and writing tasks.,Moderate relevance in reading comprehension and analytical writing.
